id;time;open;close;high;low;volume;turnover;time_type
1;36373;سبز;کیپ نپال;صورتحساب;programming;سپرده;وب دهنده;بازارها کاربرد SMS
2;73676;کارگر اموزشی EXE;پوش الکترونیک Avon;پیراهن آبی درهم;پلتفرم وام JSON;متمرکز پلاستیکی;پس کوچک;pixel
3;2752;روپی لطیف navigating;override مبتنی;فلزی;پس;نگهبان TCP;پلاستیکی;پورتال
4;78311;فلزی فیروزه ویروسی;کیفیت آرایه;طارق بازار;primary SDD;کاربران bypassing;تدابیر primary;زرد
5;53624;کتان صابون;مهار;خواربار;راهبردی صندلی;معماری;ماشین;لیبی
6;3545;نکردنی transmit العاده;compress دماوند هرمزگان;غربی;عربی primary برداشت;program compressing بینی;دینار;کانادا
7;38320;موثر توحید;Account چوبی;اتومبیل program;گذار;اجتماعات;طعم رئیس تهران;optical
8;13349;drive;سرمایه کرمانشاه compressing;دو استادمعین استیل;واعظی شبیه;مشتری توسعه;پرداخت فعال دینار;quantify حساب SSL
9;43330;Avon ارتباطات;العاده کرمانشاه بحرانی;نیووی;نقره حوله;ماهی copying COM;ارگونومیک;JBOD اردن virtual
10;88650;زیور;عمل;کردن GB connecting;مسکن کار دانمارک;ساعت back-end Avon;نصاب quantify;اردبیل Buckinghamshire
