id;symbol;name;base_currency;quote_currency;fee_currency;market;base_min_size;quote_min_size;base_max_size;quote_max_size;base_increment;quote_increment;price_increment;price_limit_rate;min_funds;is_margin_enabled;enable_trading;active
1;ساز 1080p لاهوری;مدیرفروش تازه;ایران quantify ADP;compress زیتونی SMTP;ها بودجه;رهبر;تامین;EXE;Cambridgeshire;فعال;قریب Account;پرداخت خراسان تجمیع;بتنی خراسان;آبی;THX همگرایی;false;false;false
2;monitor پرداخت;alarm تحلیل آفریقا;رئیس;Account طعم navigating;پرداخت;قابلیت;اجرایی;کیتس;ویروسی solid Cambridgeshire;نیلی;feed خاکستری پلتفرم;مربی میراث زرد;تدابیر;Cambridgeshire;solid خانه بچه;false;false;false
3;مداوم;مشتری;کاربرد ادغام;پویایی;کاربردی متن;مدیرفروش شمالی;احتمالی;متمرکز عوامل خلاقانه;گرانیتی;هویزه ویروسی;مقدم hacking;پورتال virtual صورتحساب;توسعه Berkshire program;تجربیات;الکترونیکی;true;true;true
4;زنجان neural ستارخان;راننده Buckinghamshire;محصول;ایلام معماری;فاطمی HDD;مجازی;براق انعطاف مشتری;ایلام;تکنسین جهانی استیل;تحلیلگر reboot ابزار;انسان transmit برداشت;قرمز generating;پرداخت الکترونیکی;کرمان دستغیب سرویس;ای ارغوانی تسهیل;true;true;true
5;مسئوليت محدودیت زده;دستکش بینایی ملی;پذیر ذهنیت SQL;سمنان ششم میراث;مرغ pixel;نرم داده ارگونومیک;AGP ارتباطات;array;کاربرد حوله;bandwidth bandwidth;سپرده;سفارشی parsing index;مرکزی هرمزگان;گرانیتی تهران خارق;کتاب فلزی auxiliary;true;false;false
6;عمل;مرکب پذیر bus;کارت کارگر از;پرداخت HTTP مازندران;لوکزامبورگ;ساز Cambridgeshire بازارها;هویزه;زنجیره پهنای;عالی تجارت;اختراع چوبی پزو;ارمنستان;محدودیت ورزش;ویرجین;دادن جهت بازار;مرغ quantify;false;true;false
7;عملیات ناظر;PCI;کامپیوتر SMTP;خدمتگزار کاربردی کردن;override;رسالت فلزی AGP;معماری back-end;SSL up سوسیس;تازه RAM;یکسان;استقرار;بچه همدان;Account;pixel copying های;پولدار تازه;false;true;false
8;application;Buckinghamshire از;انعطاف;گرجستان کرون;hacking;transmitting بویراحمد;تصاحب;کتان سوسیس;هنگ سیستم;راه;حل;مجازی رئیس پرداخت;آبی;ضد واعظی;hacking های;true;true;false
9;feed کارگر وام;کامپیوتر استیل;JSON Bedfordshire;connecting ارشد;یزد;سلامتی عضو جهانی;ساده تازه;استیل back-end application;مداوم پلاستیکی شده;سیرالئون transmit زیرساخت;سازی open-source alarm;ها driver reboot;نیلی;خودرو;monitor;true;false;true
10;SQL رویکرد;خانه ملی;parsing اصفهان نپال;تجمیع;استفاده مبتنی;programming فروشنده چیپس;آسمانی جهانی;انتقالی program hack;معماری از;بیکن مرکب الجزایر;TCP توزیع از;پوند;ارغوانی کارگاه quantify;پس Berkshire آبی;الکترونیکی ناظر نکردنی;true;true;false
